Namespace(data_dir='../../datasets', dataset='aids700nef', task='regression', filters='100_100_100', conv='gcn', match='node-graph', perspectives=100, match_agg='bilstm', hidden_size=100, global_flag=True, global_agg='fc_max_pool', iterations=1000, iter_val_start=900, iter_val_every=100, inclusive=True, batch_size=128, lr=0.005, dropout=0.1, gpu_index='0', log_path='./GEDLogs/', repeat_run=1)
MultiLevelGraphMatchNetwork(
  (gc1): DenseGCNConv(29, 100)
  (gc2): DenseGCNConv(100, 100)
  (gc3): DenseGCNConv(100, 100)
  (global_fc_agg): Linear(in_features=100, out_features=100, bias=True)
  (agg_bilstm): LSTM(100, 100, batch_first=True, bidirectional=True)
  (predict_fc1): Linear(in_features=600, out_features=300, bias=True)
  (predict_fc2): Linear(in_features=300, out_features=150, bias=True)
  (predict_fc3): Linear(in_features=150, out_features=75, bias=True)
  (predict_fc4): Linear(in_features=75, out_features=1, bias=True)
)
0,43.46946254372597, @ 0:00:01.586757
1,14.94885329157114, @ 0:00:01.301521
2,88.40513974428177, @ 0:00:01.249659
3,14.983939938247204, @ 0:00:01.282571
4,32.036975026130676, @ 0:00:01.360364
5,34.91247445344925, @ 0:00:01.303515
6,30.01287765800953, @ 0:00:01.293542
7,19.699180498719215, @ 0:00:01.285563
8,14.415241777896881, @ 0:00:01.278582
9,16.315331682562828, @ 0:00:01.304513
10,16.232606023550034, @ 0:00:01.275589
11,16.182590276002884, @ 0:00:01.300524
12,16.49426482617855, @ 0:00:01.329446
13,11.903531849384308, @ 0:00:01.995665
14,19.852306693792343, @ 0:00:01.289552
15,15.6948771327734, @ 0:00:01.410230
16,14.563691802322865, @ 0:00:02.655900
17,11.158493347465992, @ 0:00:01.287558
18,14.401945285499096, @ 0:00:01.313488
19,16.920259222388268, @ 0:00:01.267612
20,11.843571439385414, @ 0:00:01.360363
21,15.28238970786333, @ 0:00:01.294539
22,13.779228553175926, @ 0:00:01.285563
23,13.657049275934696, @ 0:00:01.369340
24,14.214212074875832, @ 0:00:01.336427
25,15.393227338790894, @ 0:00:03.044860
26,16.95108972489834, @ 0:00:01.456107
27,13.437807559967041, @ 0:00:01.406241
28,12.213834561407566, @ 0:00:02.448454
29,14.600452035665512, @ 0:00:01.692476
30,13.810312375426292, @ 0:00:01.467078
31,11.633669957518578, @ 0:00:01.312491
32,11.338427662849426, @ 0:00:01.257639
33,10.361935943365097, @ 0:00:02.568134
34,11.37637160718441, @ 0:00:01.641611
35,10.477587580680847, @ 0:00:01.591744
36,9.413134306669235, @ 0:00:01.321468
37,10.001598857343197, @ 0:00:01.292545
38,7.0925322361290455, @ 0:00:01.263621
39,7.213591132313013, @ 0:00:01.360364
40,7.866762578487396, @ 0:00:03.133622
41,8.221783675253391, @ 0:00:01.531905
42,8.898798376321793, @ 0:00:01.399259
43,7.202629465609789, @ 0:00:01.310496
44,8.343301713466644, @ 0:00:01.825123
45,8.080488070845604, @ 0:00:02.182165
46,6.115293595939875, @ 0:00:01.390283
47,7.131682708859444, @ 0:00:01.349393
48,5.928133148699999, @ 0:00:01.338422
49,9.117390029132366, @ 0:00:02.791537
50,7.673127576708794, @ 0:00:01.288555
51,6.519680377095938, @ 0:00:03.268264
52,7.541714236140251, @ 0:00:01.431173
53,7.319970987737179, @ 0:00:02.726711
54,5.952740553766489, @ 0:00:01.563819
55,8.027995936572552, @ 0:00:02.713746
56,6.111367605626583, @ 0:00:01.603712
57,6.216497626155615, @ 0:00:01.826119
58,7.448041811585426, @ 0:00:01.483034
59,7.0257470943033695, @ 0:00:02.806498
60,5.931200925260782, @ 0:00:01.417211
