Namespace(data_dir='../../datasets', dataset='linux', task='regression', filters='100_100_100', conv='gcn', match='node-graph', perspectives=100, match_agg='bilstm', hidden_size=100, global_flag=True, global_agg='fc_max_pool', iterations=1000, iter_val_start=900, iter_val_every=100, inclusive=True, batch_size=128, lr=0.005, dropout=0.1, gpu_index='0', log_path='./GEDLogs/', repeat_run=1)
MultiLevelGraphMatchNetwork(
  (gc1): DenseGCNConv(1, 100)
  (gc2): DenseGCNConv(100, 100)
  (gc3): DenseGCNConv(100, 100)
  (global_fc_agg): Linear(in_features=100, out_features=100, bias=True)
  (agg_bilstm): LSTM(100, 100, batch_first=True, bidirectional=True)
  (predict_fc1): Linear(in_features=600, out_features=300, bias=True)
  (predict_fc2): Linear(in_features=300, out_features=150, bias=True)
  (predict_fc3): Linear(in_features=150, out_features=75, bias=True)
  (predict_fc4): Linear(in_features=75, out_features=1, bias=True)
)
0,10.074324905872345, @ 0:00:01.204837
1,4.128170665353537, @ 0:00:01.182004
2,7.890885695815086, @ 0:00:01.301107
3,6.558162160217762, @ 0:00:01.165850
4,1.7611536895856261, @ 0:00:01.170955
5,21.25469781458378, @ 0:00:01.210034
6,2.4601847399026155, @ 0:00:01.256469
7,4.935694392770529, @ 0:00:01.271705
8,4.951620474457741, @ 0:00:01.670195
9,3.7107584066689014, @ 0:00:01.165311
10,2.7663554064929485, @ 0:00:01.190393
11,1.6512071015313268, @ 0:00:01.164830
12,1.3565111439675093, @ 0:00:01.203212
13,2.8631866443902254, @ 0:00:01.278257
14,1.9313767552375793, @ 0:00:01.300676
15,1.5301741659641266, @ 0:00:01.183298
16,1.7834249883890152, @ 0:00:01.313360
17,2.1207653917372227, @ 0:00:01.433515
18,1.586925471201539, @ 0:00:01.340802
19,1.9356730626896024, @ 0:00:01.348994
20,1.4941911213099957, @ 0:00:01.262058
21,1.135710976086557, @ 0:00:01.202734
22,1.50545802898705, @ 0:00:01.298261
23,1.4932519989088178, @ 0:00:01.216140
24,1.671226928010583, @ 0:00:01.212402
25,1.658581430092454, @ 0:00:01.794198
26,1.0969515424221754, @ 0:00:01.907213
27,1.3965403195470572, @ 0:00:01.400297
28,1.3794248225167394, @ 0:00:01.439670
29,1.7555252416059375, @ 0:00:01.393570
30,1.3585321139544249, @ 0:00:01.397704
31,1.475517638027668, @ 0:00:01.240800
32,1.6048711258918047, @ 0:00:01.800393
33,1.5481063164770603, @ 0:00:02.685120
34,1.2718589277938008, @ 0:00:01.346243
35,1.334385247901082, @ 0:00:01.423459
36,1.1389072751626372, @ 0:00:01.236762
37,1.5984931960701942, @ 0:00:01.349032
38,1.0694904485717416, @ 0:00:01.370443
39,1.442026230506599, @ 0:00:01.311839
40,1.2283169198781252, @ 0:00:01.282572
41,1.0905159870162606, @ 0:00:01.527916
42,1.4806685503572226, @ 0:00:01.281714
43,1.2260240036994219, @ 0:00:01.311558
44,1.215815544128418, @ 0:00:01.223096
45,1.529067987576127, @ 0:00:01.297619
46,1.5304406406357884, @ 0:00:01.188972
47,1.2098464649170637, @ 0:00:01.228449
48,1.246832893230021, @ 0:00:01.324120
49,1.2961486354470253, @ 0:00:01.239460
50,1.2420578859746456, @ 0:00:01.305421
51,1.3627908192574978, @ 0:00:01.416078
52,1.5708820428699255, @ 0:00:01.202844
53,1.1611217632889748, @ 0:00:01.251780
54,1.3320057187229395, @ 0:00:01.353095
55,1.285496517084539, @ 0:00:01.268985
56,1.185501809231937, @ 0:00:01.280087
57,1.2549924431368709, @ 0:00:01.321368
58,1.7026338027790189, @ 0:00:01.194044
