Namespace(data_dir='../../datasets', dataset='ptc', task='regression', filters='100_100_100', conv='gcn', match='node-graph', perspectives=100, match_agg='bilstm', hidden_size=100, global_flag=True, global_agg='fc_max_pool', iterations=1000, iter_val_start=900, iter_val_every=100, inclusive=True, batch_size=128, lr=0.005, dropout=0.1, gpu_index='0', log_path='./GEDLogs/', repeat_run=1)
MultiLevelGraphMatchNetwork(
  (gc1): DenseGCNConv(19, 100)
  (gc2): DenseGCNConv(100, 100)
  (gc3): DenseGCNConv(100, 100)
  (global_fc_agg): Linear(in_features=100, out_features=100, bias=True)
  (agg_bilstm): LSTM(100, 100, batch_first=True, bidirectional=True)
  (predict_fc1): Linear(in_features=600, out_features=300, bias=True)
  (predict_fc2): Linear(in_features=300, out_features=150, bias=True)
  (predict_fc3): Linear(in_features=150, out_features=75, bias=True)
  (predict_fc4): Linear(in_features=75, out_features=1, bias=True)
)
0,69.94972378015518, @ 0:00:19.409687
1,23.018917068839073, @ 0:00:17.167036
2,71.27518206834793, @ 0:00:18.952297
3,81.85222744941711, @ 0:00:17.411320
4,62.725648283958435, @ 0:00:16.223866
5,14.05525766313076, @ 0:00:16.280563
6,29.224280267953873, @ 0:00:16.485165
7,42.246606200933456, @ 0:00:16.832144
8,24.905182421207428, @ 0:00:16.236579
9,17.17677153646946, @ 0:00:16.142215
10,14.528347179293633, @ 0:00:18.836348
11,16.998130828142166, @ 0:00:16.993775
12,20.218681544065475, @ 0:00:16.775325
13,18.502457067370415, @ 0:00:16.694831
14,12.984062545001507, @ 0:00:16.397123
15,12.343380600214005, @ 0:00:16.449412
16,16.97189174592495, @ 0:00:17.133303
17,17.08078570663929, @ 0:00:17.627493
18,17.160365357995033, @ 0:00:17.472695
19,16.36429876089096, @ 0:00:17.614451
20,16.92129299044609, @ 0:00:18.564469
21,11.571823619306087, @ 0:00:17.783473
22,10.145952925086021, @ 0:00:17.264963
23,12.15827651321888, @ 0:00:17.261801
24,12.810995802283287, @ 0:00:16.686006
25,12.472029775381088, @ 0:00:17.733024
26,9.453394450247288, @ 0:00:18.201920
27,14.268722385168076, @ 0:00:19.409911
28,13.994280248880386, @ 0:00:18.070112
29,15.353381633758545, @ 0:00:18.564898
30,17.4579881131649, @ 0:00:17.910242
31,12.346820905804634, @ 0:00:19.065617
32,13.592361472547054, @ 0:00:17.156404
33,13.710929080843925, @ 0:00:16.753788
34,14.024684205651283, @ 0:00:16.151967
35,15.361962839961052, @ 0:00:16.304517
36,13.651074841618538, @ 0:00:16.748002
37,14.356630854308605, @ 0:00:16.136813
38,12.805166654288769, @ 0:00:17.305927
39,13.303248211741447, @ 0:00:17.037268
40,12.67159916460514, @ 0:00:18.122575
41,12.607253156602383, @ 0:00:16.537865
42,11.77853625267744, @ 0:00:16.257330
43,15.635248273611069, @ 0:00:16.780471
44,13.483772054314613, @ 0:00:17.353694
45,13.807195238769054, @ 0:00:17.203800
46,14.530275948345661, @ 0:00:17.002549
47,12.475486844778061, @ 0:00:16.337174
48,12.418186292052269, @ 0:00:16.266142
49,12.75567151606083, @ 0:00:16.969759
50,12.51507829874754, @ 0:00:16.688118
51,13.542545959353447, @ 0:00:16.808995
52,15.893479809165001, @ 0:00:15.975972
53,11.958891525864601, @ 0:00:16.588207
54,13.691317290067673, @ 0:00:17.064391
55,11.718161404132843, @ 0:00:16.455869
56,13.5155338793993, @ 0:00:16.437564
57,13.51229939609766, @ 0:00:17.858806
58,14.97228816151619, @ 0:00:16.173279
59,12.926219031214714, @ 0:00:16.537158
60,14.508248306810856, @ 0:00:16.493130
